
127.0.0.30	alpha.telemetry.microsoft.com
127.0.0.31	asimov-win.settings.data.microsoft.com.akadns.net
127.0.0.32	ceuswatcab01.blob.core.windows.net
127.0.0.33	ceuswatcab02.blob.core.windows.net
127.0.0.34	db5.settings-win.data.microsoft.com.akadns.net
127.0.0.35	db5.vortex.data.microsoft.com.akadns.net
127.0.0.36	db5-eap.settings-win.data.microsoft.com.akadns.net
127.0.0.37	de.vortex-win.data.microsoft.com
127.0.0.38	eaus2watcab01.blob.core.windows.net
127.0.0.39	eaus2watcab02.blob.core.windows.net
127.0.0.40	eu.vortex-win.data.microsoft.com
127.0.0.41	geo.settings-win.data.microsoft.com.akadns.net
127.0.0.42	geo.vortex.data.microsoft.com.akadns.net
127.0.0.43	kmwatsonc.events.data.microsoft.com
127.0.0.44	mobile.pipe.aria.microsoft.com
127.0.0.45	nexus.officeapps.live.com
127.0.0.46	nexusrules.officeapps.live.com
127.0.0.47	oca.telemetry.microsoft.com
127.0.0.48	settings-win.data.microsoft.com
127.0.0.49	umwatsonc.events.data.microsoft.com
127.0.0.50	us.vortex-win.data.microsoft.com
127.0.0.51	v10.events.data.microsoft.com
127.0.0.52	v10.vortex-win.data.microsoft.com
127.0.0.53	v10c.vortex-win.data.microsoft.com
127.0.0.54	v10-win.vortex.data.microsoft.com.akadns.net
127.0.0.55	v20.vortex-win.data.microsoft.com
127.0.0.56	vortex.data.microsoft.com
127.0.0.57	vortex-win.data.microsoft.com
127.0.0.58	vortex-win-sandbox.data.microsoft.com
127.0.0.59	watson.telemetry.microsoft.com
127.0.0.60	weus2watcab01.blob.core.windows.net
127.0.0.61	weus2watcab02.blob.core.windows.net
